qkey,category,unit,description,claimed_value_tex,tex_lines,reproducibility
null_kge7_mean,deterministic,itemsets,Mean null-model itemsets at K>=7 (0; no permutation produced any).,0,364;382,rerun
null_kge7_bio,deterministic,itemsets,"Biological itemsets at K>=7 (sum over K=7..14) from the exhaustive Direct run at 0.001% (88,745).","88,745",364;382,rerun
run_power_direct_kmax,deterministic,K,Maximum K of the exhaustive Direct CSR->GPU run at 0.001% (14).,14,364;393,rerun
null_enriched_from_k,deterministic,K,Smallest K from which biological counts exceed the null mean and stay enriched (4; stated as 'K>=4' or 'K=4').,>=4 / 4,367;391;462;466,derived
null_t_df,method-parameter,df,Degrees of freedom of the t-statistics = null_permutations - 1 (4).,4,367;388;391,derived
null_p_bound_kge7,deterministic,p,One-sided binomial 95% upper bound for 0 of 5 permutations reaching K>=7: 1-0.05^(1/5) = 0.4507 ('<0.45'); also the p cell of the tab:null-model K=7-14 row (no separate null_kge7_p key).,<0.45,367;382;391,derived
null_p_bound_confidence_pct,method-parameter,%,Confidence level of the one-sided binomial upper bound (95).,95,367;391,setup
null_p_bound_formula,method-parameter,formula,Formula of the p bound for 0 of 5 permutations: 1-0.05^(1/5).,1-0.05^(1/5),367;391,setup
null_perms_reaching_kge7,deterministic,permutations,Number of permutations that produced any itemset at K>=7 ('0 of 5').,0 of 5,367;391,rerun
null_k1_bio,deterministic,itemsets,Biological (unshuffled) itemsets at K=1 from the exhaustive Direct run at 0.001% (tab:null-model Bio column).,"1,002",376,rerun
null_k1_mean,deterministic,itemsets,Mean null-model itemsets at K=1 over the 5 permutations. Equals vocab_items_frequent: marginal frequencies are preserved by the shuffle.,"1,002",376;393,rerun
null_k1_std,deterministic,itemsets,Standard deviation of null-model itemsets at K=1 over the 5 permutations.,0.0,376,rerun
null_k1_z,deterministic,"Z (t-statistic, 4 df)",(null_k1_bio - null_k1_mean) / null_k1_std; the paper calls it Z but notes it is a t-statistic with 4 df.,0.0,376,derived
null_k1_p,deterministic,p,"p-value reported for K=1 (1.0, depleted/preserved).",1.0,376,derived
null_k2_bio,deterministic,itemsets,Biological (unshuffled) itemsets at K=2 from the exhaustive Direct run at 0.001% (tab:null-model Bio column).,"22,019",377,rerun
null_k2_mean,deterministic,itemsets,Mean null-model itemsets at K=2 over the 5 permutations.,"63,702",377,rerun
null_k2_std,deterministic,itemsets,Standard deviation of null-model itemsets at K=2 over the 5 permutations.,42.2,377,rerun
null_k2_z,deterministic,"Z (t-statistic, 4 df)",(null_k2_bio - null_k2_mean) / null_k2_std; the paper calls it Z but notes it is a t-statistic with 4 df.,-987,377;391,derived
null_k2_p,deterministic,p,"p-value reported for K=2 (1.0, depleted/preserved).",1.0,377,derived
null_k3_bio,deterministic,itemsets,Biological (unshuffled) itemsets at K=3 from the exhaustive Direct run at 0.001% (tab:null-model Bio column).,"73,205",378,rerun
null_k3_mean,deterministic,itemsets,Mean null-model itemsets at K=3 over the 5 permutations.,"79,134",378,rerun
null_k3_std,deterministic,itemsets,Standard deviation of null-model itemsets at K=3 over the 5 permutations.,41.5,378,rerun
null_k3_z,deterministic,"Z (t-statistic, 4 df)",(null_k3_bio - null_k3_mean) / null_k3_std; the paper calls it Z but notes it is a t-statistic with 4 df.,-143,378;391,derived
null_k3_p,deterministic,p,"p-value reported for K=3 (1.0, depleted/preserved).",1.0,378,derived
null_k4_bio,deterministic,itemsets,Biological (unshuffled) itemsets at K=4 from the exhaustive Direct run at 0.001% (tab:null-model Bio column).,"108,059",379,rerun
null_k4_mean,deterministic,itemsets,Mean null-model itemsets at K=4 over the 5 permutations.,"25,468",379,rerun
null_k4_std,deterministic,itemsets,Standard deviation of null-model itemsets at K=4 over the 5 permutations.,21.8,379,rerun
null_k4_z,deterministic,"Z (t-statistic, 4 df)",(null_k4_bio - null_k4_mean) / null_k4_std; the paper calls it Z but notes it is a t-statistic with 4 df.,"+3,791",379;391;462,derived
null_k4_p,deterministic,p,"p-value reported for K=4 (~0, enriched).",~0,379,derived
null_k5_bio,deterministic,itemsets,Biological (unshuffled) itemsets at K=5 from the exhaustive Direct run at 0.001% (tab:null-model Bio column).,"104,239",380,rerun
null_k5_mean,deterministic,itemsets,Mean null-model itemsets at K=5 over the 5 permutations.,"1,992",380,rerun
null_k5_std,deterministic,itemsets,Standard deviation of null-model itemsets at K=5 over the 5 permutations.,13.8,380,rerun
null_k5_z,deterministic,"Z (t-statistic, 4 df)",(null_k5_bio - null_k5_mean) / null_k5_std; the paper calls it Z but notes it is a t-statistic with 4 df.,"+7,402",380,derived
null_k5_p,deterministic,p,"p-value reported for K=5 (~0, enriched).",~0,380,derived
null_k6_bio,deterministic,itemsets,Biological (unshuffled) itemsets at K=6 from the exhaustive Direct run at 0.001% (tab:null-model Bio column).,"78,596",381,rerun
null_k6_mean,deterministic,itemsets,Mean null-model itemsets at K=6 over the 5 permutations.,22,381;391,rerun
null_k6_std,deterministic,itemsets,Standard deviation of null-model itemsets at K=6 over the 5 permutations.,1.1,381;391,rerun
null_k6_z,deterministic,"Z (t-statistic, 4 df)",(null_k6_bio - null_k6_mean) / null_k6_std; the paper calls it Z but notes it is a t-statistic with 4 df.,"+71,728",381,derived
null_k6_p,deterministic,p,"p-value reported for K=6 (~0, enriched).",~0,381,derived
null_kge7_std,deterministic,itemsets,Standard deviation of null-model itemsets at K>=7 (0.0).,0.0,382,rerun
null_kge7_z,deterministic,Z,Z at K>=7: undefined ('---') because null std is 0.,--- (undefined),382,derived
null_perms_for_p001,method-parameter,permutations,Permutations the paper says would be needed to establish p<0.01 bounds ('100+'; hypothetical).,100+,393,derived
null_p_target,method-parameter,p,Hypothetical target p bound of a full validation (<0.01).,<0.01,393,setup
null_per_perm_time_s,hardware-dependent,s,Runtime of one permutation = one full mining run at 0.001% (~130 s; 662/5 = 132.4).,~130,393,hardware
misc_transaction_scale_claim,deterministic,transactions,'100-million-transaction scale' rhetoric of Discussion/Conclusion; the mined set is dataset_multi_feature = 76.9M (order-of-magnitude statement).,100-million,402;496,derived
ext_gpapriori_speedup,external-fact,x,GPApriori (Zhang 2011) speedup on FIMI benchmarks (up to 100x).,100×,408,external
ext_bigminer_transactions,external-fact,transactions,BIGMiner (Chon 2018b) largest scale (100M transactions).,100M,408;423,external
ext_bigminer_nodes,external-fact,nodes,BIGMiner cluster size (30 MapReduce nodes / '30x servers').,30 / 30× servers,408;423,external
run_opus_vs_gminer_transaction_ratio,deterministic,x,dataset_multi_feature / ext_gminer_transactions (5.1x).,5.1×,411,derived
ext_gminer_transactions,external-fact,transactions,GMiner (Chon 2018) largest synthetic dataset (15M transactions).,15M,411;422,external
ext_gminer_transactions_real,external-fact,transactions,GMiner largest real dataset (1.7M transactions).,1.7M,411;843,external
ext_borgelt_transactions,external-fact,transactions,Borgelt (2003) dataset size (100K).,100K,420,external
ext_borgelt_items,external-fact,items,Borgelt item count (500).,500,420,external
ext_borgelt_kmax,external-fact,K,Borgelt maximum K (~10).,~10,420,external
ext_borgelt_hardware,external-fact,hardware,Borgelt hardware (1x CPU).,1× CPU,420,external
ext_borgelt_time_s,external-fact,s,Borgelt runtime range (1-100 s).,1–100,420,external
ext_fang_transactions,external-fact,transactions,Fang (2009) dataset size (100K).,100K,421,external
ext_fang_items,external-fact,items,Fang item count (1K).,1K,421,external
ext_fang_kmax,external-fact,K,Fang maximum K (~5).,~5,421,external
ext_fang_hardware,external-fact,hardware,Fang hardware (1x GTX 280).,1× GTX 280,421,external
ext_fang_time_s,external-fact,s,Fang runtime range (1-10 s).,1–10,421,external
ext_gminer_items,external-fact,items,GMiner item count (20K).,20K,422,external
ext_gminer_kmax,external-fact,K,GMiner maximum K (~30).,~30,422,external
ext_gminer_hardware,external-fact,hardware,GMiner hardware (4x GTX 1080).,4× GTX 1080,422,external
ext_gminer_time_s,external-fact,s,GMiner runtime range (20-150 s).,20–150,422,external
ext_bigminer_items,external-fact,items,BIGMiner item count (100K).,100K,423,external
ext_bigminer_kmax,external-fact,K,"BIGMiner maximum K (not reported, '---').",--- (not reported),423,external
ext_bigminer_time_s,external-fact,s,BIGMiner runtime range (1-20K s).,1–20K,423,external
bitvec_subset_gb,deterministic,GB,"Bit-packed dense bitmap of the 76.9M mining subset (~10 GB); cf. mem_dense_76p9m_gb (9.6 GB with |F1|=1,000).",~10,440,derived
alg_pcie_bytes_per_level,deterministic,bytes,"Host<->device traffic per K-level in the GPU-accelerated loop. CONFLICT: '~12 bytes' (l.443, 808-810, 839) vs '~4 bytes' (l.852 caption, l.868 loop-control cell).",~12 / ~4,443;808;809;810;839;852;868,hardware
ext_meysman_structures,external-fact,structures,Structures covered by Meysman et al. (PDB 3D-proximity study; ~32K).,~32K,454,external
k22_functional_roles,deterministic,roles,"Interpretive grouping of the K=22 itemset into 4 functional roles (RNA/DNA unwinding, innate immune sensing, gene regulation, neuronal function); not re-executable.",4,460,external
null_k4_enrichment_ratio,deterministic,x,"null_k4_bio / null_k4_mean, described as 'many orders of magnitude' (arithmetically 108,059 / 25,468 = 4.2).",many orders of magnitude,462,derived
ext_go_update_frequency,external-fact,frequency,GO annotation update frequency (monthly).,monthly,478,external
dataset_single_feature,deterministic,proteins,Proteins excluded from mining because they carry exactly one vocabulary feature (128.7 million).,128.7 million,480,rerun
dataset_single_feature_pct,deterministic,%,100 x dataset_single_feature / dataset_plddt_pass (62.6).,62.6,480,derived
ext_afdb_homodimers_highconf,external-fact,predictions,High-confidence homodimer predictions added to AlphaFold DB (1.7 million).,1.7 million,486,external
ext_afdb_homodimers_lowconf,external-fact,predictions,Lower-confidence homodimers available via bulk download (18 million).,18 million,486,external
ext_embl_ebi_statement_year,external-fact,year,Year of the quoted EMBL-EBI statement (2026).,2026,486,external
ext_zenodo_doi,external-fact,DOI,Zenodo DOI of the archived preprint (10.5281/zenodo.18674353).,10.5281/zenodo.18674353,500;529,external
alg_min_count_rule,method-parameter,formula,Minimum-count rule of the pseudocode: min_count = ceil(sigma * n).,min_count = ceil(sigma * n),766,setup
alg_prefix_loop_start_k,method-parameter,K,First K handled by the prefix-group loop (3).,3,775,setup
alg_loop_continue_condition,method-parameter,condition,Loop continuation condition of the pseudocode: |freq_{k-1}| >= k.,freq_{k-1} >= k,776,setup
pipe_pcie_result_collection,deterministic,PCIe traffic,Result collection: one bulk GPU->CPU transfer at the end ('Once at end' / pseudocode 'Single transfer').,1 (single) / Once at end,782;869,setup
arch_support_counting_intrinsic,software,intrinsic,Support-counting intrinsic used by ET-miner: __popcll (64-bit) (tab:gpu-arch ET-miner cell and Appendix C).,64-bit,797;834,setup
hw_popcll_cycles,hardware-dependent,cycles,Claimed single-cycle latency of the __popcll intrinsic (NVIDIA ISA fact; not measured here).,1,797,external
ext_prior_gpu_fim_popcount_width_bits,external-fact,bits,"Prior systems (chon2018, chon2024) use the 32-bit __popc, i.e. 32 proteins per operation.",32 / 32-bit,797,external
alg_k2_pairs_per_thread,software,pairs per thread,"Candidate pairs evaluated per GPU thread at K=2 (1, triangular-number inverse mapping).",1,801,setup
alg_early_termination_condition,method-parameter,condition,K>=3 early termination when an intermediate AND result is zero.,0 (AND result),801,setup
alg_pcie_bytes_total,deterministic,bytes,Total host<->device traffic over all K-levels = run_opus_kmax x alg_pcie_bytes_per_level (22 x 12 = ~264 bytes).,~264,813,derived
ext_conventional_gpu_fim_pcie_bytes,external-fact,bytes,Per-campaign CPU-GPU transfer volume of conventional GPU FIM implementations ('gigabytes').,gigabytes,813,external
ext_gminer_support_counting_intrinsic,external-fact,intrinsic,"GMiner support-counting intrinsic (__popc, 32-bit).",32-bit,834,external
ext_gminerpp_support_counting_intrinsic,external-fact,intrinsic,"GMiner++ (2024) support-counting intrinsic (__popc, 32-bit).",32-bit,834,external
pipe_pcie_k1_support_count,deterministic,PCIe traffic,PCIe traffic of the K=1 support count stage in tab:gpu-pipeline (None).,None (0),860,setup
pipe_pcie_k1_frequency_filter,deterministic,PCIe traffic,PCIe traffic of the K=1 frequency filter stage in tab:gpu-pipeline (None).,None (0),861,setup
pipe_pcie_k2_candidate_gen,deterministic,PCIe traffic,PCIe traffic of the K=2 candidate generation stage in tab:gpu-pipeline (None).,None (0),862,setup
pipe_pcie_k2_support_count,deterministic,PCIe traffic,PCIe traffic of the K=2 support count stage in tab:gpu-pipeline (None).,None (0),863,setup
pipe_pcie_k2_min_support_filter,deterministic,PCIe traffic,PCIe traffic of the K=2 min-support filter stage in tab:gpu-pipeline (None).,None (0),864,setup
pipe_pcie_k3plus_candidate_gen,deterministic,PCIe traffic,PCIe traffic of the K>=3 candidate generation stage in tab:gpu-pipeline (None).,None (0),865,setup
pipe_pcie_k3plus_support_count,deterministic,PCIe traffic,PCIe traffic of the K>=3 support count stage in tab:gpu-pipeline (None).,None (0),866,setup
pipe_pcie_k3plus_filter_sort,deterministic,PCIe traffic,PCIe traffic of the K>=3 filter + sort stage in tab:gpu-pipeline (None).,None (0),867,setup
mem_ratio_0p01pct,deterministic,x,mem_dense_76p9m_gb / mem_csr_0p01pct_gb at 0.01% density.,7.8×,874;889,derived
mem_density_0p01pct,method-parameter,%,Density of the theoretical tab:memory-comparison row (0.01%).,0.01,874;889,setup
mem_breakeven_density_pct,deterministic,%,Density at/above which CSR gives no saving over the bit-packed dense bitmap ('>=1%').,>=1,874,derived
mem_proteome_density_pct,deterministic,%,Density of the proteome dataset = items per transaction / |F1| (~1%).,~1,874,derived
mem_ratio_214m,deterministic,x,mem_dense_214m_gb / mem_csr_214m_gb (1.4x; 'modest 1.4x reduction' in Appendix D).,1.4×,874;886,derived
mem_csr_bytes_per_entry,method-parameter,bytes,Bytes per CSR entry assumed by tab:memory-comparison (8).,8,878,setup
mem_items_per_txn_214m,deterministic,items per transaction,"Items per transaction assumed for the 'AlphaFold proteome, Actual' row (~10). Cf. csr_nnz / dataset_multi_feature = 316M / 76.9M = 4.1 for the mined subset.",~10,886,rerun
mem_dense_214m_gb,deterministic,GB,"Dense bit-packed bitmap for 214M x 1,002 bits / 8 (27 GB). Cf. bitvec_gb (~26 GB for 205.6M).",27,886,derived
mem_csr_214m_gb,deterministic,GB,CSR for the 214M 'Actual' row: 8 B x (214M x ~10 entries) + 8 B x 214M row pointers ~ 19 GB.,19,886,derived
mem_theoretical_items,method-parameter,items,"|F1| used for the theoretical rows of tab:memory-comparison (1,000; the actual vocabulary is 1,002).","1,000",888,setup
mem_items_per_txn_0p01pct,deterministic,items per transaction,"Items per transaction at 0.01% density = density x 1,000.",1,889,derived
mem_dense_76p9m_gb,deterministic,GB,"Dense bit-packed bitmap for the theoretical rows: 76.9M x 1,000 bits / 8 (9.6 GB; identical for all three densities).",9.6,889;890;891,derived
mem_csr_0p01pct_gb,deterministic,GB,CSR size at 0.01% density = 8 B x nnz + 8 B x 76.9M row pointers.,1.2,889,derived
mem_density_0p1pct,method-parameter,%,Density of the theoretical tab:memory-comparison row (0.1%).,0.1,890,setup
mem_items_per_txn_0p1pct,deterministic,items per transaction,"Items per transaction at 0.1% density = density x 1,000.",10,890,derived
mem_csr_0p1pct_gb,deterministic,GB,CSR size at 0.1% density = 8 B x nnz + 8 B x 76.9M row pointers.,6.8,890,derived
mem_ratio_0p1pct,deterministic,x,mem_dense_76p9m_gb / mem_csr_0p1pct_gb at 0.1% density.,1.4×,890,derived
mem_density_1pct,method-parameter,%,Density of the theoretical tab:memory-comparison row (1%).,1,891,setup
mem_items_per_txn_1pct,deterministic,items per transaction,"Items per transaction at 1% density = density x 1,000.",100,891,derived
mem_csr_1pct_gb,deterministic,GB,CSR size at 1% density = 8 B x nnz + 8 B x 76.9M row pointers.,62.1,891,derived
mem_ratio_1pct,deterministic,x,mem_dense_76p9m_gb / mem_csr_1pct_gb at 1% density.,0.15×,891,derived
