claim_id,qkey,value,unit,category,stance,file,line,quoted_context
R1-186,null_k6_mean,22,mean null itemsets at K=6,deterministic,quotes-paper,F1,78,"""null max depth K=6 (mean 22, std 1.1)"""
R1-187,null_k6_std,1.1,std null itemsets at K=6,deterministic,quotes-paper,F1,78,"""null max depth K=6 (mean 22, std 1.1)"""
R1-188,null_kge7_bio,"88,745",biological itemsets at K>=7,deterministic,quotes-paper,F1,78,"""bio K>=7 = 88,745; real_total 475,865 to K=14"""
R1-189,run_power_direct_itemsets,"475,865",real_total itemsets (0.001%),deterministic,quotes-paper,F1,78,"""bio K>=7 = 88,745; real_total 475,865 to K=14"""
R1-190,run_power_direct_kmax,14,"K max (real, 0.001%)",deterministic,quotes-paper,F1,78,"""real_total 475,865 to K=14"""
R1-191,null_k1_mean,"1,002",K=1 itemsets preserved under permutation,deterministic,quotes-paper,F1,78,"""K=1 preserves 1,002; ~130 s/permutation"""
R1-192,null_per_perm_time_s,~130,s per permutation,hardware-dependent,quotes-paper,F1,78,"""K=1 preserves 1,002; ~130 s/permutation"""
R1-193,null_permutations,n=5,permutations (t-statistic basis),method-parameter,quotes-paper,F1,78,"""The n=5 Z-scores are appropriately recast as t-statistics (4 df)"""
R1-194,null_t_df,4,df (t-statistics),deterministic,quotes-paper,F1,78,"""The n=5 Z-scores are appropriately recast as t-statistics (4 df)"""
R1-195,meta_review_f1_direct_vs_son_checks,6/6,Direct-vs-SON checks passed,external-fact,asserts-own,F1,80,"""Direct vs SON (6/6):"""
R1-196,run_power_direct_itemsets,"475,865",itemsets (Direct),deterministic,quotes-paper,F1,80,"""Direct 475,865 in 50.7 s; SON 22,846 in 1,085.6 s; 21x speedup; SON misses 95.2%"""
R1-197,run_power_direct_time_s,50.7,s (Direct),hardware-dependent,quotes-paper,F1,80,"""Direct 475,865 in 50.7 s"""
R1-198,run_power_son_itemsets,"22,846",itemsets (SON),deterministic,quotes-paper,F1,80,"""SON 22,846 in 1,085.6 s"""
R1-199,run_power_son_time_s,"1,085.6",s (SON),hardware-dependent,quotes-paper,F1,80,"""SON 22,846 in 1,085.6 s"""
R1-200,son_speedup,21x,speedup (Direct vs SON),hardware-dependent,quotes-paper,F1,80,"""21x speedup; SON misses 95.2%"""
R1-201,son_miss_rate_pct,95.2%,SON miss rate,deterministic,quotes-paper,F1,80,"""21x speedup; SON misses 95.2%"""
R1-202,meta_review_f1_confirmed_scale_comparison,3,confirmed scale-comparison claims,external-fact,asserts-own,F1,82,"""Scale comparison (3):"""
R1-203,run_opus_vs_gminer_transaction_ratio,5.1x,transactions ratio vs GMiner,deterministic,quotes-paper,F1,82,"""5.1x (76.9M/15M); 62.6% = 128.7M excluded"""
R1-204,dataset_multi_feature,76.9M,transactions (ET-miner),deterministic,quotes-paper,F1,82,"""5.1x (76.9M/15M)"""
R1-205,ext_gminer_transactions,15M,transactions (GMiner),external-fact,quotes-paper,F1,82,"""5.1x (76.9M/15M)"""
R1-206,dataset_single_feature_pct,62.6%,proteins excluded (single-feature),deterministic,quotes-paper,F1,82,"""62.6% = 128.7M excluded"""
R1-207,dataset_single_feature,128.7M,proteins excluded,deterministic,quotes-paper,F1,82,"""62.6% = 128.7M excluded"""
R1-208,dataset_multi_feature,76.9M,transactions (ET-miner row),deterministic,quotes-paper,F1,82,"""ET-miner row 76.9M/1,002/K22/1xH100/7.3min"""
R1-209,vocab_items_frequent,"1,002",items (ET-miner row),deterministic,quotes-paper,F1,82,"""ET-miner row 76.9M/1,002/K22/1xH100/7.3min"""
R1-210,run_opus_kmax,22,K (ET-miner row),deterministic,quotes-paper,F1,82,"""ET-miner row 76.9M/1,002/K22/1xH100/7.3min"""
R1-211,hw_gpu_model,1xH100,GPU count/model,hardware-dependent,quotes-paper,F1,82,"""ET-miner row 76.9M/1,002/K22/1xH100/7.3min"""
R1-212,run_opus_time_min,7.3,min (ET-miner row),hardware-dependent,quotes-paper,F1,82,"""ET-miner row 76.9M/1,002/K22/1xH100/7.3min"""
R1-213,meta_review_f1_confirmed_citations,7,confirmed citation claims,external-fact,asserts-own,F1,84,"""Citations (7):"""
R1-214,meta_review_f1_cite_commands,47,\cite commands,external-fact,asserts-own,F1,84,"""47 \cite -> 37 unique keys, all with matching \bibitem and none unused"""
R1-215,meta_review_f1_unique_cite_keys,37,unique citation keys,external-fact,asserts-own,F1,84,"""47 \cite -> 37 unique keys, all with matching \bibitem and none unused"""
R1-216,meta_review_f1_bib_entries,37,bibliography entries,external-fact,asserts-own,F1,84,"""\begin{thebibliography}{37} = 37 entries"""
R1-217,meta_review_f1_cross_paper_contamination,0 (zero),cross-paper tool contamination,external-fact,asserts-own,F1,84,"""zero cross-paper (opus_pocket: fpocket, efficient-apriori, scikit-learn, PDBbind) contamination"""
R1-218,dataset_uniprot_release,2025_01,UniProt release,external-fact,quotes-paper,F1,94,"""UniProt release 2025_01 / line 129, 478 / Log records only input filename"""
R1-219,meta_log_pipeline_start_timestamp,Feb 2026,run date (log),external-fact,asserts-own,F1,94,"""Log records only input filename uniprot_trembl.dat.gz and Feb 2026 run date; no release string"""
R1-220,run_opus_kmax,22,K,deterministic,quotes-paper,F1,95,"""K=22 shared by exactly 8 proteins / lines 254, 286"""
R1-221,k22_support,8,proteins (K=22),deterministic,quotes-paper,F1,95,"""K=22 shared by exactly 8 proteins / lines 254, 286"""
R1-222,pattern_k19_k,19,K max in decoded_top_k_patterns.txt,deterministic,asserts-own,F1,95,"""decoded_top_k_patterns.txt caps at K=19 (187 proteins) and is a different run"""
R1-223,pattern_k19_support,187,proteins (K=19 pattern in decoded file),deterministic,asserts-own,F1,95,"""caps at K=19 (187 proteins) and is a different run"""
R1-224,meta_review_f1_artifact_kge20_absent,>=20,K (no artifact contains any),deterministic,asserts-own,F1,95,"""no artifact contains any K>=20 itemset"""
R1-225,k22_independent_features,22->21,independent features after GO check,deterministic,quotes-paper,F1,96,"""22->21 independent (0 GO parent-child pairs; InterPro2GO link removed)"""
R1-226,k22_go_parent_child_pairs,0,GO parent-child pairs,deterministic,quotes-paper,F1,96,"""22->21 independent (0 GO parent-child pairs; InterPro2GO link removed)"""
R1-227,run_minc4_min_count,4,min_count (verification run),method-parameter,quotes-paper,F1,97,"""min_count=4 -> 48M itemsets, same K max / line 335"""
R1-228,run_minc4_itemsets,48M,itemsets (min_count=4 run),deterministic,disputes,F1,97,"""No min_count=4 run exists. The only '48M' is 'Written 48M transactions' during extraction"""
R1-229,extract_progress_transactions_written,48M,transactions written (extraction log),deterministic,asserts-own,F1,97,"""The only '48M' is 'Written 48M transactions' during extraction - a transaction count, not itemsets"""
R1-230,null_min_count,769,min_count (null-model JSON),method-parameter,asserts-own,F1,97,"""experiment_null_model_...json (min_count 769)"""
R1-231,k22_support,8,K=22 UniProt accessions,deterministic,quotes-paper,F1,98,"""8 K=22 UniProt accessions / line 333 / See D3 - not recoverable"""
R1-232,run_opus_kmax,22,K,deterministic,quotes-paper,F1,98,"""8 K=22 UniProt accessions"""
R1-233,ext_gminer_transactions,15M,transactions (GMiner basis),external-fact,quotes-paper,F1,99,"""Internally used consistently (GMiner 15M basis for 5.1x)"""
R1-234,run_opus_vs_gminer_transaction_ratio,5.1x,transactions ratio,deterministic,quotes-paper,F1,99,"""Internally used consistently (GMiner 15M basis for 5.1x)"""
R1-235,meta_review_f1_bib_entries,37,references,external-fact,quotes-paper,F1,100,"""External correctness of 37 references / lines 541-724"""
R1-236,meta_review_f1_commit_diff_lines,231,lines (manuscript rewrite in commit diff),external-fact,asserts-own,F1,108,"""its diff is a 231-line manuscript rewrite that deletes expanded-run figures"""
R1-237,run_v35k_itemsets,606K,"itemsets (expanded run, revision_notes_b3.tex)",deterministic,disputes,F1,110,"""606K itemsets @ 4xH200 in revision_notes_b3.tex vs 16.8B @ 8xH200 in the plan"""
R1-238,run_v35k_n_gpus,4xH200,"GPUs (expanded run, revision_notes_b3.tex)",hardware-dependent,disputes,F1,110,"""606K itemsets @ 4xH200 in revision_notes_b3.tex vs 16.8B @ 8xH200 in the plan"""
R1-239,run_v35k_16p8b_itemsets,16.8B,"itemsets (expanded run, plan)",deterministic,disputes,F1,110,"""606K itemsets @ 4xH200 in revision_notes_b3.tex vs 16.8B @ 8xH200 in the plan"""
R1-240,run_v35k_16p8b_n_gpus,8xH200,"GPUs (expanded run, plan)",hardware-dependent,disputes,F1,110,"""606K itemsets @ 4xH200 in revision_notes_b3.tex vs 16.8B @ 8xH200 in the plan"""
R1-241,null_permutations,n=5,permutations (caveat),method-parameter,quotes-paper,F1,111,"""Abstract/conclusion omit the n=5 caveat on Z>3,700 (lines 91, 498)"""
R1-242,null_z_min_k4to6,">3,700",Z (headline),deterministic,quotes-paper,F1,111,"""Abstract/conclusion omit the n=5 caveat on Z>3,700 (lines 91, 498)"""
R1-243,null_t_df,4,df,deterministic,quotes-paper,F1,111,"""Body (table caption + s4.4) correctly recasts these as t-statistics (4 df)"""
R1-244,meta_review_f1_dutch_translation_date,Feb 2026,date (stale Dutch translation),external-fact,asserts-own,F1,112,"""Stale Dutch translation et_miner_proteome_nl.tex (old title, Feb 2026 date)"""
R1-245,k22_support,8,K=22 accessions to list,deterministic,requests,F1,113,"""(a) list the 8 K=22 accessions - see D3"""
R1-246,pattern_k13_support,"~11,000",proteins (approximate count),deterministic,quotes-paper,F1,113,"""replace the '~11,000 / ~10,500 / ~16,000' approximate protein counts (lines 353, 355, 357)"""
R1-247,pattern_k12_support,"~10,500",proteins (approximate count),deterministic,quotes-paper,F1,113,"""replace the '~11,000 / ~10,500 / ~16,000' approximate protein counts (lines 353, 355, 357)"""
R1-248,pattern_k11_support,"~16,000",proteins (approximate count),deterministic,quotes-paper,F1,113,"""replace the '~11,000 / ~10,500 / ~16,000' approximate protein counts (lines 353, 355, 357)"""
R1-249,run_opus_time_min,7.3,min (mining-only),hardware-dependent,requests,F1,113,"""(d) state explicitly that 7.3 min is mining-only wherever the figure appears standalone"""
R1-250,run_opus_min_count,>=8,"proteins (feature retention, OLD text)",method-parameter,quotes-paper,F1,122,"""OLD: We retained all features occurring in at least 8 proteins (the lowest support threshold used)."""
R1-251,vocab_pfam_defined,500,most frequent Pfam domains (proposed text),method-parameter,requests,F1,123,"""The feature vocabulary comprises the 500 most frequent Pfam domains and the 500 most frequent GO terms"""
R1-252,vocab_go_defined,500,most frequent GO terms (proposed text),method-parameter,requests,F1,123,"""The feature vocabulary comprises the 500 most frequent Pfam domains and the 500 most frequent GO terms"""
R1-253,dataset_pfam_families_observed,"24,291",Pfam families observed (proposed text),deterministic,requests,F1,123,"""(drawn from 24,291 Pfam and 25,993 GO families observed across the corpus)"""
R1-254,dataset_go_families_observed,"25,993",GO families observed (proposed text),deterministic,requests,F1,123,"""(drawn from 24,291 Pfam and 25,993 GO families observed across the corpus)"""
R1-255,vocab_plddt_defined,6,pLDDT confidence bins (proposed text),method-parameter,requests,F1,123,"""together with 6 pLDDT confidence bins, for 1,006 defined items"""
R1-256,vocab_items_defined,"1,006",defined items (proposed text),deterministic,requests,F1,123,"""together with 6 pLDDT confidence bins, for 1,006 defined items"""
R1-257,run_opus_min_count,8,"proteins (minimum support, proposed text)",method-parameter,requests,F1,123,"""The minimum support threshold of 8 proteins is applied during mining, not during vocabulary construction"""
R1-258,csr_vs_dense_full_ratio,40x,reduction (cross-dataset claim to fix),deterministic,disputes,F1,125,"""[D2] Line 167 - fix the cross-dataset 40x claim. Make the reduction ratio same-dataset."""
R1-259,csr_nnz,316 million,non-zero entries (OLD text),deterministic,quotes-paper,F1,126,"""the resulting matrix contains 316 million non-zero entries occupying ~5.1 GB in coordinate format"""
R1-260,csr_bytes_gb,~5.1,GB (OLD text),deterministic,quotes-paper,F1,126,"""316 million non-zero entries occupying ~5.1 GB in coordinate format"""
R1-261,alg_coo_bytes_per_entry,2 x 64-bit,integers per COO entry (OLD text),method-parameter,quotes-paper,F1,126,"""(two 64-bit integers per entry)"""
R1-262,csr_vs_dense_full_ratio,40x,reduction (OLD text),deterministic,disputes,F1,126,"""a 40x reduction from the ~206 GB naive dense representation (one byte per boolean entry)"""
R1-263,dense_gb,~206,GB (OLD text),deterministic,quotes-paper,F1,126,"""a 40x reduction from the ~206 GB naive dense representation"""
R1-264,alg_dense_bytes_per_bool,1,byte per boolean entry (OLD text),method-parameter,quotes-paper,F1,126,"""(one byte per boolean entry)"""
R1-265,dataset_multi_feature,76.9M,"proteins (mining subset, NEW text)",deterministic,requests,F1,127,"""for the 76.9M-protein mining subset the resulting matrix contains 316 million non-zero entries"""
R1-266,csr_nnz,316 million,non-zero entries (NEW text),deterministic,requests,F1,127,"""the resulting matrix contains 316 million non-zero entries occupying ~5.1 GB"""
R1-267,csr_bytes_gb,~5.1,GB (NEW text),deterministic,requests,F1,127,"""316 million non-zero entries occupying ~5.1 GB in coordinate format"""
R1-268,csr_vs_dense_subset_ratio,~15x,reduction (NEW text),deterministic,requests,F1,127,"""a ~15x reduction from the ~77 GB dense representation of that same subset"""
R1-269,dense_subset_gb,~77,GB dense of subset (NEW text),deterministic,requests,F1,127,"""a ~15x reduction from the ~77 GB dense representation of that same subset"""
R1-270,dense_gb,~206,GB dense of full set (NEW text),deterministic,requests,F1,127,"""relative to the ~206 GB dense matrix of the full 205.6M-protein set it is ~40x smaller"""
R1-271,dataset_plddt_pass,205.6M,"proteins (full set, NEW text)",deterministic,requests,F1,127,"""relative to the ~206 GB dense matrix of the full 205.6M-protein set it is ~40x smaller"""
R1-272,csr_vs_dense_full_ratio,~40x,"smaller (cross-dataset, NEW text)",deterministic,requests,F1,127,"""relative to the ~206 GB dense matrix of the full 205.6M-protein set it is ~40x smaller"""
R1-273,alg_coo_bytes_per_entry,2 x 64-bit,integers per COO entry (NEW text),method-parameter,requests,F1,127,"""occupying ~5.1 GB in coordinate format (two 64-bit integers per entry)"""
R1-274,csr_vs_dense_full_ratio,40x,reduction (no longer single-dataset),deterministic,disputes,F1,128,"""stops presenting 40x as a single-dataset reduction"""
R1-275,dense_gb,206,GB (OLD memory path),deterministic,quotes-paper,F1,131,"""The 206 GB -> 5.1 GB -> 26 GB memory reduction path is applicable to any sparse"""
R1-276,csr_bytes_gb,5.1,GB (OLD memory path),deterministic,quotes-paper,F1,131,"""The 206 GB -> 5.1 GB -> 26 GB memory reduction path"""
R1-277,bitvec_gb,26,GB (OLD memory path),deterministic,quotes-paper,F1,131,"""The 206 GB -> 5.1 GB -> 26 GB memory reduction path"""
R1-278,dense_gb,206,GB full-set dense (NEW text),deterministic,requests,F1,132,"""The full-set 206 GB dense matrix, the 5.1 GB CSR of the mined subset, and the 26 GB GPU bitvector matrix"""
R1-279,csr_bytes_gb,5.1,GB CSR of mined subset (NEW text),deterministic,requests,F1,132,"""the 5.1 GB CSR of the mined subset, and the 26 GB GPU bitvector matrix"""
R1-280,bitvec_gb,26,GB GPU bitvector matrix (NEW text),deterministic,requests,F1,132,"""the 26 GB GPU bitvector matrix illustrate a compression path"""
R1-281,csr_vs_dense_subset_ratio,~15x,same-subset dense-to-CSR reduction (NEW text),deterministic,requests,F1,132,"""(the same-subset dense-to-CSR reduction is ~15x; see Appendix)"""
R1-282,k22_support,8,UniProt accessions (to obtain and list),deterministic,requests,F1,135,"""obtain the 8 UniProt accessions from the authors and list them"""
R1-283,k22_support,8 (eight),matching proteins (proposed text),deterministic,requests,F1,135,"""The eight matching proteins (accessions listed in Table) were identified with the released analysis code"""
R1-284,dataset_uniprot_release,2025_01,UniProt release (fallback text),external-fact,requests,F1,136,"""they are regenerable only from UniProt release 2025_01 via the released feature-extraction pipeline"""
R1-285,null_p_bound_kge7,0.45,p bound (correct source to be stated),deterministic,requests,F1,138,"""replace the phrase by the rule of three with the correct source of 0.45"""
R1-286,null_p_bound_kge7,<0.45,p (OLD caption),deterministic,quotes-paper,F1,139,"""(p < 0.45, the 95% one-sided upper bound for 0 of 5 by the rule of three)."""
R1-287,null_p_bound_confidence_pct,95%,one-sided upper bound (OLD caption),method-parameter,quotes-paper,F1,139,"""(p < 0.45, the 95% one-sided upper bound for 0 of 5 by the rule of three)."""
R1-288,null_perms_reaching_kge7,0 of 5,null runs (OLD caption),deterministic,quotes-paper,F1,139,"""(p < 0.45, the 95% one-sided upper bound for 0 of 5 by the rule of three)."""
R1-289,null_p_bound_kge7,<0.45,p (NEW caption),deterministic,requests,F1,140,"""(p < 0.45, the exact one-sided binomial 95% upper bound 1-0.05^{1/5} for 0 of 5)."""
R1-290,null_p_bound_confidence_pct,95%,binomial upper bound (NEW caption),method-parameter,requests,F1,140,"""the exact one-sided binomial 95% upper bound 1-0.05^{1/5} for 0 of 5"""
R1-291,null_p_bound_formula,1-0.05^{1/5},bound formula (NEW caption),deterministic,requests,F1,140,"""the exact one-sided binomial 95% upper bound 1-0.05^{1/5} for 0 of 5"""
R1-292,null_perms_reaching_kge7,0 of 5,null runs (NEW caption),deterministic,requests,F1,140,"""the exact one-sided binomial 95% upper bound 1-0.05^{1/5} for 0 of 5"""
R1-293,null_p_bound_kge7,<0.45,p (paper line 391),deterministic,quotes-paper,F1,141,"""yielding p < 0.45 (the 95% one-sided upper bound for 0 of 5 by the rule of three)"""
R1-294,null_p_bound_confidence_pct,95%,one-sided upper bound (paper line 391),method-parameter,quotes-paper,F1,141,"""(the 95% one-sided upper bound for 0 of 5 by the rule of three)"""
R1-295,null_perms_reaching_kge7,0 of 5,null runs (paper line 391),deterministic,quotes-paper,F1,141,"""(the 95% one-sided upper bound for 0 of 5 by the rule of three)"""
R1-296,null_p_bound_formula,1-0.05^{1/5},bound formula (replacement),deterministic,requests,F1,141,"""... the exact one-sided binomial 95% upper bound 1-0.05^{1/5} for 0 of 5"""
R1-297,null_p_bound_kge7,<0.45,"p (table cell, paper line 382)",deterministic,quotes-paper,F1,141,"""Line 382 table cell shows only <0.45 and needs no change once the caption is fixed"""
R1-298,run_minc4_min_count,4,min_count (unverifiable run),method-parameter,disputes,F1,143,"""No artifact records a min_count=4 run or a 48M-itemset count"""
R1-299,run_minc4_itemsets,48M,itemsets (unverifiable),deterministic,disputes,F1,143,"""No artifact records a min_count=4 run or a 48M-itemset count"""
R1-300,extract_progress_transactions_written,48M,transactions written during extraction,deterministic,asserts-own,F1,143,"""(the only '48M' in logs is transactions written during extraction)"""
R1-301,run_minc4_min_count,4,min_count (OLD text),method-parameter,quotes-paper,F1,144,"""A verification run at min_count=4 discovered 48 million itemsets with identical maximum"""
R1-302,run_minc4_itemsets,48 million,itemsets (OLD text),deterministic,disputes,F1,144,"""A verification run at min_count=4 discovered 48 million itemsets with identical maximum"""
R1-303,k22_support,8,proteins (NEW text),deterministic,requests,F1,144,"""Because each of the 8 proteins carries exactly 22 vocabulary features, K=23 is impossible at any support threshold"""
R1-304,k22_proteins_features_each,22,vocabulary features per K=22 protein (NEW text),deterministic,requests,F1,144,"""each of the 8 proteins carries exactly 22 vocabulary features"""
R1-305,k22_impossible_k,23,"K (impossible, NEW text)",deterministic,requests,F1,144,"""K=23 is impossible at any support threshold; the ceiling is therefore structural"""
R1-306,pattern_k13_k,13,K (highlighted pattern),deterministic,quotes-paper,F1,146,"""the highlighted K=13 / K=12 / K=11 patterns from decoded_top_k_patterns.txt"""
R1-307,pattern_k12_k,12,K (highlighted pattern),deterministic,quotes-paper,F1,146,"""the highlighted K=13 / K=12 / K=11 patterns from decoded_top_k_patterns.txt"""
R1-308,pattern_k11_k,11,K (highlighted pattern),deterministic,quotes-paper,F1,146,"""the highlighted K=13 / K=12 / K=11 patterns from decoded_top_k_patterns.txt"""
R1-309,pattern_k13_support,"~11,000",proteins (K=13 pattern),deterministic,quotes-paper,F1,146,"""replace (~11,000 proteins), (~10,500 proteins), (~16,000 proteins) with the exact integers"""
R1-310,pattern_k12_support,"~10,500",proteins (K=12 pattern),deterministic,quotes-paper,F1,146,"""replace (~11,000 proteins), (~10,500 proteins), (~16,000 proteins) with the exact integers"""
R1-311,pattern_k11_support,"~16,000",proteins (K=11 pattern),deterministic,quotes-paper,F1,146,"""replace (~11,000 proteins), (~10,500 proteins), (~16,000 proteins) with the exact integers"""
R1-312,dataset_uniprot_release,2025_01,UniProt/Swiss-Prot release (paper line 478),external-fact,disputes,F1,148,"""line 478 says UniProt/Swiss-Prot release 2025_01"" (vs TrEMBL at line 129)"
R1-313,dataset_uniprot_release,2025_01,UniProt/Swiss-Prot release (OLD),external-fact,quotes-paper,F1,149,"""our results reflect UniProt/Swiss-Prot release 2025_01"""
R1-314,dataset_uniprot_release,2025_01,UniProt TrEMBL release (NEW),external-fact,requests,F1,150,"""our results reflect UniProt TrEMBL release 2025_01"""
R1-315,dataset_uniprot_release,2025_01,release string (not in any artifact),external-fact,disputes,F1,152,"""The '2025_01' release is not recorded in any artifact. Confirm the exact release with the authors"""
R1-316,dataset_access_date,February 2026,access date (softened wording),external-fact,requests,F1,152,"""soften to 'the UniProt TrEMBL release accessed February 2026'"""
R1-317,null_permutations,n=5,permutations (scope to add to headline Z),method-parameter,requests,F1,154,"""[Integrity 4] Conclusion line 498 - add the n=5 scope to the headline Z."""
R1-318,null_z_min_k4to6,">3,700",Z (OLD conclusion),deterministic,quotes-paper,F1,155,"""(Z>3,700 for K=4--6; no null run reached K>=7)."""
R1-319,null_z_headline_k_range,4-6,K range (OLD conclusion),deterministic,quotes-paper,F1,155,"""(Z>3,700 for K=4--6; no null run reached K>=7)."""
R1-320,null_kmax,>=7,"K (no null run reached, OLD)",deterministic,quotes-paper,F1,155,"""(Z>3,700 for K=4--6; no null run reached K>=7)."""
R1-321,null_z_min_k4to6,">3,700",Z (NEW conclusion),deterministic,requests,F1,156,"""(Z>3,700 for K=4--6, as t-statistics from 5 permutations; no null run reached K>=7)"""
R1-322,null_z_headline_k_range,4-6,K range (NEW conclusion),deterministic,requests,F1,156,"""(Z>3,700 for K=4--6, as t-statistics from 5 permutations"""
R1-323,null_permutations,5,permutations (NEW conclusion),method-parameter,requests,F1,156,"""as t-statistics from 5 permutations; no null run reached K>=7"""
R1-324,null_kmax,>=7,K (NEW conclusion),deterministic,requests,F1,156,"""no null run reached K>=7; see Section"""
R1-325,run_opus_time_min,7.3,minutes (paper line 120),hardware-dependent,quotes-paper,F1,158,"""discovers the complete feature co-occurrence landscape in 7.3 minutes -> ... in 7.3 minutes of mining"""
R1-326,run_opus_time_min,7.3,minutes (paper line 496),hardware-dependent,quotes-paper,F1,158,"""mining completes in 7.3 minutes -> mining completes in 7.3 minutes (excluding the 63-minute one-time feature extraction"""
R1-327,extract_time_min,63,minute feature extraction (NEW text),hardware-dependent,requests,F1,158,"""(excluding the 63-minute one-time feature extraction, Section)"""
R1-328,dataset_multi_feature,76.9 million,multi-feature proteins,deterministic,quotes-paper,F2,12,"""across 76.9 million multi-feature proteins (1,002 features) on a single NVIDIA H100 in 7.3 minutes"""
R1-329,vocab_items_frequent,"1,002",features,deterministic,quotes-paper,F2,12,"""across 76.9 million multi-feature proteins (1,002 features)"""
R1-330,hw_gpu_model,1 (single),NVIDIA H100 GPU,hardware-dependent,quotes-paper,F2,12,"""on a single NVIDIA H100 in 7.3 minutes"""
R1-331,run_opus_time_min,7.3,minutes,hardware-dependent,quotes-paper,F2,12,"""on a single NVIDIA H100 in 7.3 minutes"""
R1-332,run_opus_itemsets,26.8 million,co-occurrence patterns,deterministic,quotes-paper,F2,12,"""discovering 26.8 million co-occurrence patterns up to K = 22"""
R1-333,run_opus_kmax,22,K (max),deterministic,quotes-paper,F2,12,"""discovering 26.8 million co-occurrence patterns up to K = 22"""
R1-334,ext_prior_gpu_fim_scale_gap_orders,~3 orders of magnitude,transaction count vs prior single-machine GPU FIM,external-fact,quotes-paper,F2,12,"""roughly three orders of magnitude larger than any previously reported single-machine GPU FIM system[SOURCE?]"""
R1-335,null_support_pct,0.001%,null-model threshold,method-parameter,quotes-paper,F2,12,"""A permutation null model (at the 0.001% threshold)"""
R1-336,meta_review_f2_overclaim_ways,3 (three),ways claims outrun support,external-fact,asserts-own,F2,14,"""outrun its statistical and reproducibility support in three specific ways (Major 1-3 below)"""
R1-337,run_opus_kmax,22,K (flagship biological result),deterministic,quotes-paper,F2,14,"""the flagship biological result (K = 22) rests on the thinnest possible evidence base"""
R1-338,son_speedup,21x,speedup (Direct vs SON),hardware-dependent,quotes-paper,F2,18,"""a convincing demonstration (21x / 95.2% miss-rate) of why the SON approximation is inadequate"""
R1-339,son_miss_rate_pct,95.2%,SON miss rate,deterministic,quotes-paper,F2,18,"""a convincing demonstration (21x / 95.2% miss-rate)"""
R1-340,null_support_pct,0.001%,threshold validated by null model,method-parameter,quotes-paper,F2,22,"""The null model validates only the 0.001% threshold; the headline K = 22 result lives at 0.00001%"""
R1-341,run_opus_kmax,22,K (headline),deterministic,quotes-paper,F2,22,"""the headline K = 22 result lives at 0.00001%, where no null model was run"""
R1-342,run_opus_support_pct,0.00001%,threshold (headline result),method-parameter,quotes-paper,F2,22,"""the headline K = 22 result lives at 0.00001%, where no null model was run"""
R1-343,null_permutations,n = 5,permutations,method-parameter,disputes,F2,23,"""Statistical support rests on n = 5 permutations; the reported 'Z' magnitudes and the p < 0.45 bound cannot carry the weight"""
R1-344,null_p_bound_kge7,<0.45,p bound,deterministic,disputes,F2,23,"""the reported 'Z' magnitudes and the p < 0.45 bound cannot carry the weight the narrative places on them"""
R1-345,run_opus_kmax,22,K (flagship pattern),deterministic,quotes-paper,F2,24,"""The flagship K = 22 'neuronal antiviral' pattern is a single itemset in 8 proteins"""
R1-346,k22_support,8,proteins (K=22),deterministic,quotes-paper,F2,24,"""a single itemset in 8 proteins whose accessions are not listed"""
R1-347,null_support_pct,0.001%,"support (Power threshold, null model)",method-parameter,quotes-paper,F2,31,"""run only at the Power threshold (0.001% support, min_count = 769)"""
R1-348,null_min_count,769,min_count (null model),method-parameter,quotes-paper,F2,31,"""run only at the Power threshold (0.001% support, min_count = 769)"""
R1-349,kdist_opus_peak_k,9,K (distribution peak),deterministic,quotes-paper,F2,31,"""the K = 9 distribution peak and the K = 22 ceiling - are obtained at the Opus threshold"""
R1-350,run_opus_kmax,22,K (ceiling),deterministic,quotes-paper,F2,31,"""the K = 9 distribution peak and the K = 22 ceiling - are obtained at the Opus threshold"""
R1-351,run_opus_support_pct,0.00001%,support (Opus threshold),method-parameter,quotes-paper,F2,31,"""obtained at the Opus threshold (0.00001%, min_count = 8)"""
R1-352,run_opus_min_count,8,min_count (Opus),method-parameter,quotes-paper,F2,31,"""obtained at the Opus threshold (0.00001%, min_count = 8)"""
R1-353,misc_f2_deep_k_range,15-22,K range (deep patterns lacking null validation),deterministic,asserts-own,F2,33,"""whether the K = 15-22 patterns are enriched over a count-preserving null"""
R1-354,null_permutations,5,permutations (suggested Opus-threshold null),method-parameter,requests,F2,35,"""even 5 permutations at min_count = 8 would establish whether the null produces any deep (K >= 7) patterns"""
R1-355,run_opus_min_count,8,min_count (suggested null run),method-parameter,requests,F2,35,"""even 5 permutations at min_count = 8 would establish"""
R1-356,null_kmax,>=7,K (deep-pattern cutoff),method-parameter,requests,F2,35,"""whether the null produces any deep (K >= 7) patterns there"""
R1-357,misc_f2_deep_k_range,>=15,K (concentration analysis),method-parameter,requests,F2,35,"""how many distinct proteins contribute to all K >= 15 itemsets"""
R1-358,null_permutations,n = 5,permutations (heading),method-parameter,disputes,F2,37,"""Major 2 - Statistical inference from n = 5 permutations is over-leveraged"""
R1-359,null_t_df,4,df (t-statistics),deterministic,quotes-paper,F2,38,"""correctly labels the enrichment statistics as t-statistics (4 df) rather than large-sample Z-scores"""
R1-360,null_p_bound_kge7,<0.45,p (absence bound),deterministic,quotes-paper,F2,38,"""corrects the absence bound to p < 0.45 (rule of three, 0/5)"""
